wallet,score,total_tx,deposit_count,deposit_amount,active_days,tx_per_day,first_tx,last_tx,unique_assets,total_borrowed,repay_borrow_ratio,liquidations,redeemunderlying_count,redeemunderlying_amount,borrow_count,borrow_amount,repay_count,repay_amount,total_repaid,liquidationcall_count,liquidationcall_amount
0x00000000001accfa9cef68cf5371a23025b6d4b6,475,1.0,1.0,2000000000.0,1.0,1.0,1629178166,1629178166,1,0.0,0.0,0.0,,,,,,,,,
0x000000000051d07a4fb3bd10121a343d85818da6,475,1.0,1.0,1.45e+20,1.0,1.0,1621525013,1621525013,1,0.0,0.0,0.0,,,,,,,,,
0x000000000096026fb41fc39f9875d164bd82e2dc,475,2.0,2.0,5000000000000000.0,8.574131944444446,0.2332597647154109,1627118913,1627773318,1,0.0,0.0,0.0,,,,,,,,,
0x0000000000e189dd664b9ab08a33c4839953852c,500,17.0,,,130.3277662037037,0.1304403543096781,1618845797,1630019716,4,0.0,0.0,0.0,17.0,4.835297129866919e+18,,,,,,,
0x0000000002032370b971dabd36d72f3e5a7bf1ee,625,399.0,250.0,9.459365814707668e+22,133.8659027777778,2.980594697533653,1619040510,1630520124,6,3.946000000007e+22,1.7745710301539731e-12,0.0,130.0,3.946555879661164e+22,15.0,3.946000000007e+22,4.0,70024572850.0,70024572850.0,,
0x000000000a38444e0a6e37d3b630d7e855a7cb13,850,25.0,7.0,1.0609617267610297e+22,40.28017361111111,0.6206527370354694,1623505777,1626899584,5,11605000000.0,1.0007449570012925,0.0,5.0,2.3008854394743634e+18,8.0,11605000000.0,5.0,11613645226.0,11613645226.0,,
0x000000003853fcedcd0355fec98ca3192833f00b,550,8.0,8.0,4.542699271260784e+16,8.889201388888889,0.8999683604873266,1627797709,1628479336,7,0.0,0.0,0.0,,,,,,,,,
0x000000003ce0cf2c037493b1dc087204bd7f713e,625,492.0,309.0,2.741882752968275e+23,124.50150462962964,3.951759470406519,1619880579,1630551109,7,8.63397897875013e+22,0.003901022389781245,0.0,137.0,1.848882416032952e+23,30.0,8.63397897875013e+22,16.0,3.3681345309004864e+20,3.3681345309004864e+20,,
0x000000007858e6f2668e1e06111cfa24403a5466,475,1.0,1.0,9.264749382774971e+16,1.0,1.0,1622940459,1622940459,1,0.0,0.0,0.0,,,,,,,,,
0x00000001a0f57e850c9db68b4a9bc34677437c5c,475,1.0,1.0,1797442.0,1.0,1.0,1627011681,1627011681,1,0.0,0.0,0.0,,,,,,,,,
0x0000000506063a51c6ce59906d8c40f7d7fe92a7,825,69.0,26.0,8.005480506185253e+23,31.65619212962963,2.179668347900164,1619794594,1622443289,1,5.9794805061852535e+23,1.0020595180240388,0.0,10.0,8.01754315692455e+23,24.0,5.9794805061852535e+23,9.0,5.9917953540621314e+23,5.9917953540621314e+23,,
0x00000029ff545c86524ade7caf132527707948c4,900,47.0,12.0,2.703467576579266e+24,3.104513888888889,15.139246169332289,1618366710,1618548540,4,1.2044886209729238e+24,1.000157193393154,0.0,11.0,2.703896282758299e+24,12.0,1.2044886209729238e+24,12.0,1.2046779586262698e+24,1.2046779586262698e+24,,
0x00000087c4cebffb95746d1935de7fbcab092f40,625,250.0,86.0,2.000200538589319e+22,101.5072800925926,2.4628775371771936,1621917729,1630601558,8,2.1000000001237225e+22,0.05618565909036595,0.0,57.0,1.0067568570534057e+18,62.0,2.1000000001237225e+22,45.0,1.1798988409671993e+21,1.1798988409671993e+21,,
